OwnShip Hologram,Calibration Table,,,,,
,,,,,,
Colour Value (RGB),ASM Value,,,,,
,,,,,,
0,0.000000,,,,,
1,0.000010,,,,,
2,0.000055,,,,,
3,0.000156,,,,,
4,0.000319,,,,,
5,0.000567,,,,,
6,0.000801,,,,,
7,0.001114,,,,,
8,0.001447,,,,,
9,0.001837,,,,,
10,0.002346,,,,,
11,0.002737,,,,,
12,0.003323,,,,,
13,0.003910,,,,,
14,0.004496,,,,,
15,0.005082,,,,,
16,0.005473,,,,,
17,0.006060,,,,,
18,0.006646,,,,,
19,0.007233,,,,,
20,0.007819,,,,,
21,0.008405,,,,,
22,0.009100,,,,,
23,0.009969,,,,,
24,0.010360,,,,,
25,0.010947,,,,,
26,0.011700,,,,,
27,0.012315,,,,,
28,0.013097,,,,,
29,0.013879,,,,,
30,0.014661,,,,,
31,0.015443,,,,,
32,0.016224,,,,,
33,0.017006,,,,,
34,0.017593,,,,,
35,0.018472,,,,,
36,0.019548,,,,,
37,0.019988,,,,,
38,0.020916,,,,,
39,0.021307,,,,,
40,0.021698,,,,,
41,0.022700,,,,,
42,0.023470,,,,,
43,0.024239,,,,,
44,0.025021,,,,,
45,0.026096,,,,,
46,0.027171,,,,,
47,0.027953,,,,,
48,0.028735,,,,,
49,0.029712,,,,,
50,0.030592,,,,,
51,0.031472,,,,,
52,0.032000,,,,,
53,0.033035,,,,,
54,0.033817,,,,,
55,0.034404,,,,,
56,0.035700,,,,,
57,0.036749,,,,,
58,0.037336,,,,,
59,0.038118,,,,,
60,0.038900,,,,,
61,0.040268,,,,,
62,0.041050,,,,,
63,0.041832,,,,,
64,0.042809,,,,,
65,0.043982,,,,,
66,0.044764,,,,,
67,0.045546,,,,,
68,0.046719,,,,,
69,0.047892,,,,,
70,0.048478,,,,,
71,0.049846,,,,,
72,0.050628,,,,,
73,0.051410,,,,,
74,0.052778,,,,,
75,0.053560,,,,,
76,0.054342,,,,,
77,0.055711,,,,,
78,0.056800,,,,,
79,0.057861,,,,,
80,0.058643,,,,,
81,0.060207,,,,,
82,0.060793,,,,,
83,0.062357,,,,,
84,0.063000,,,,,
85,0.064000,,,,,
86,0.065289,,,,,
87,0.066657,,,,,
88,0.067439,,,,,
89,0.068808,,,,,
90,0.070371,,,,,
91,0.071153,,,,,
92,0.071740,,,,,
93,0.073303,,,,,
94,0.074672,,,,,
95,0.076236,,,,,
96,0.077311,,,,,
97,0.078386,,,,,
98,0.079168,,,,,
99,0.080536,,,,,
100,0.082100,,,,,
101,0.083468,,,,,
102,0.085032,,,,,
103,0.086400,,,,,
104,0.087500,,,,,
105,0.088416,,,,,
106,0.089332,,,,,
107,0.091678,,,,,
108,0.093047,,,,,
109,0.093828,,,,,
110,0.095197,,,,,
111,0.096761,,,,,
112,0.099693,,,,,
113,0.101061,,,,,
114,0.102625,,,,,
115,0.103993,,,,,
116,0.105459,,,,,
117,0.106925,,,,,
118,0.108489,,,,,
119,0.109857,,,,,
120,0.111421,,,,,
121,0.112790,,,,,
122,0.114353,,,,,
123,0.115722,,,,,
124,0.117286,,,,,
125,0.118752,,,,,
126,0.120218,,,,,
127,0.121586,,,,,
128,0.123639,,,,,
129,0.124518,,,,,
130,0.128819,,,,,
131,0.130382,,,,,
132,0.131751,,,,,
133,0.133217,,,,,
134,0.134683,,,,,
135,0.136833,,,,,
136,0.138690,,,,,
137,0.140547,,,,,
138,0.142111,,,,,
139,0.143479,,,,,
140,0.146411,,,,,
141,0.147975,,,,,
142,0.149344,,,,,
143,0.152276,,,,,
144,0.154000,,,,,
145,0.156772,,,,,
146,0.158922,,,,,
147,0.162000,,,,,
148,0.164004,,,,,
149,0.166936,,,,,
150,0.168500,,,,,
151,0.171000,,,,,
152,0.172801,,,,,
153,0.175733,,,,,
154,0.178665,,,,,
155,0.180131,,,,,
156,0.181597,,,,,
157,0.184529,,,,,
158,0.187461,,,,,
159,0.191000,,,,,
160,0.193326,,,,,
161,0.196258,,,,,
162,0.202122,,,,,
163,0.205054,,,,,
164,0.207986,,,,,
165,0.210918,,,,,
166,0.213851,,,,,
167,0.216783,,,,,
168,0.219715,,,,,
169,0.222647,,,,,
170,0.225579,,,,,
171,0.228511,,,,,
172,0.231443,,,,,
173,0.234376,,,,,
174,0.237308,,,,,
175,0.240240,,,,,
176,0.245909,,,,,
177,0.251577,,,,,
178,0.254705,,,,,
179,0.257637,,,,,
180,0.263501,,,,,
181,0.266434,,,,,
182,0.272298,,,,,
183,0.275230,,,,,
184,0.281094,,,,,
185,0.284026,,,,,
186,0.286959,,,,,
187,0.295755,,,,,
188,0.298687,,,,,
189,0.304551,,,,,
190,0.310416,,,,,
191,0.316280,,,,,
192,0.322144,,,,,
193,0.328009,,,,,
194,0.333873,,,,,
195,0.339737,,,,,
196,0.345601,,,,,
197,0.351466,,,,,
198,0.357330,,,,,
199,0.363194,,,,,
200,0.374727,,,,,
201,0.380592,,,,,
202,0.386456,,,,,
203,0.398184,,,,,
204,0.404049,,,,,
205,0.409913,,,,,
206,0.421641,,,,,
207,0.429000,,,,,
208,0.439234,,,,,
209,0.445099,,,,,
210,0.456827,,,,,
211,0.468556,,,,,
212,0.474420,,,,,
213,0.487000,,,,,
214,0.491817,,,,,
215,0.515274,,,,,
216,0.527003,,,,,
217,0.538732,,,,,
218,0.550460,,,,,
219,0.562189,,,,,
220,0.579781,,,,,
221,0.597374,,,,,
222,0.609103,,,,,
223,0.632365,,,,,
224,0.655822,,,,,
225,0.667550,,,,,
226,0.691007,,,,,
227,0.714464,,,,,
228,0.737726,,,,,
229,0.772912,,,,,
230,0.796369,,,,,
231,0.819826,,,,,
232,0.843283,,,,,
233,0.890002,,,,,
234,0.913459,,,,,
235,0.936916,,,,,
236,0.983635,,,,,
237,1.030549,,,,,
238,1.077463,,,,,
239,1.124182,,,,,
240,1.194553,,,,,
241,1.264729,,,,,
242,1.335100,,,,,
243,1.428733,,,,,
244,1.545823,,,,,
245,1.686957,,,,,
246,1.804242,,,,,
247,1.921528,,,,,
248,2.109185,,,,,
249,2.345711,,,,,
250,2.638925,,,,,
251,3.000000,,,,,
252,3.300000,,,,,
253,4.000000,,,,,
254,5.000000,,,,,
255,6.000000,,,,,
